admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,disappointment,disapproval,disgust,excitement,gratitude,joy,love,optimism,realization,sadness,surprise,text_path,split
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,paragraphs/paragraph_000001.txt,train
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000002.txt,cal
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,paragraphs/paragraph_000003.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000004.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000005.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000006.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000007.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000008.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000009.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,paragraphs/paragraph_000010.txt,test
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000011.txt,train
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paragraphs/paragraph_000012.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000013.txt,cal
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000014.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000015.txt,train
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000016.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000017.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,paragraphs/paragraph_000018.txt,train
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000019.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000020.txt,train
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000021.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000022.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000023.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000024.txt,train
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000025.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000026.txt,test
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paragraphs/paragraph_000027.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000028.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000029.txt,train
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000030.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000031.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000032.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000033.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,paragraphs/paragraph_000034.txt,cal
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000035.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000036.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000037.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000038.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000039.txt,test
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000040.txt,train
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000041.txt,train
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000042.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000043.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000044.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,paragraphs/paragraph_000045.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000046.txt,test
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000047.txt,train
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000048.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000049.txt,train
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000050.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000051.txt,cal
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000052.txt,test
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000053.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000054.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000055.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000056.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000057.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000058.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000059.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000060.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000061.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paragraphs/paragraph_000062.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paragraphs/paragraph_000063.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000064.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000065.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,paragraphs/paragraph_000066.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000067.txt,train
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,paragraphs/paragraph_000068.txt,cal
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000069.txt,train
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000070.txt,cal
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000071.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000072.txt,train
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000073.txt,train
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000074.txt,cal
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,paragraphs/paragraph_000075.txt,test
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,paragraphs/paragraph_000076.txt,test
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,paragraphs/paragraph_000077.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000078.txt,train
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000079.txt,train
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000080.txt,train
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000081.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,paragraphs/paragraph_000082.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000083.txt,train
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000084.txt,train
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000085.txt,train
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000086.txt,train
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000087.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000088.txt,test
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000089.txt,cal
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,paragraphs/paragraph_000090.txt,train
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,paragraphs/paragraph_000091.txt,train
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000092.txt,test
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paragraphs/paragraph_000093.txt,test
